ID,前文,題幹,選項1,選項2,選項3,選項4
112537,咱公司的年度家庭日咧欲佇二月二十舉辦，請同仁愛穿咱統一發落來的體育衫，佇當工早起七點三十分到各部門櫃台報到。逐个同仁著愛參加一項體育競賽，閣有留到上落尾的同仁會當參加好運摸彩。,這篇文章的公告對象可能是啥人?,社區住戶,公司員工,俱樂部會員,大學生
122537,"醫生：王小姐你好，今仔日是佗位咧無爽快咧？
病人：我無細膩𨂿著，你看我的跤腫甲按呢。
醫生：𨂿著大約仔偌久矣？
病人：已經三工矣，腫閣痛閣烏青凝血。本底想欲去予人推推掠掠咧，毋過驚會痛。
醫生：一開始敢有做啥物緊急的處理無？過遮濟工才來看，可能會留病尾喔！
病人：𨂿著的時陣有焐冰，我聽講𨂿著過兩點鐘就愛閣換焐燒的，一點鐘後閣換轉來焐冰，按呢相替換才會較緊好。
醫生：24點鐘內愛焐冰，過72點鐘才會使焐燒的喔！這站仔你愛共跤攑予懸，予血回流，我先開一寡藥仔予你食，閣有貼布，兩禮拜內盡量莫行徙，才會順序復原喔！",請問下跤佗一个毋是這位醫生建議病人的項目？,24點鐘內焐冰。,72點鐘後焐燒的。,食藥仔。,推推掠掠咧。
132537,查埔人:「我是你的手機仔，永遠都開機。你是我的電話號碼，永遠袂改變。」查某人:「現代人的手機仔用無兩年就欲換，電話號碼閣較無值錢!」,根據這段對話，佗一个選項是著的？,查埔人是一支手機仔,查某人定定換手機仔,查埔人保證伊真專情,查某人誠感動
142537,高雄衛武營國家藝術中心，早前是軍事中心，經過十五年的改造，佇2018年正式開始使用，有音樂廳、戲劇院、表演廳、外口埕等等的場所。地點倚佇闊莽莽的衛武營市區公園，規个青色的景緻，春色滿園，建築是荷蘭的設計師設計的，運用地理的優勢，以市區公園規遍的榕仔來構思，圓弧型的外觀巧妙的佮四周圍的環境合做伙，自然的光線對厝尾頂的天井迵過，造出樹蔭日花的氛圍。,衛武營國家藝術中心佮市區公園呈現啥物款的視覺效果?,和諧,怪奇,黯淡,對比
152537,基隆有一座紅淡山，我捌去遐𨑨迌。山無懸，差不多兩百公尺，沿路遊客少少，不止恬靜。山頂有一个瞭望台，會當欣賞基隆市區的風景。我無意中聽著兩个少年仔的對話，大概仔是咧講學校畢業了後，佇基隆無好揣頭路，嘛是就到外位食頭路。彼擺我毋但看著基隆的風景，嘛聽著基隆少年仔的心情風景。,作者佇咧紅淡山看著啥？,日頭落山。,山景,貧民區,砲台
162537,請聽下面這段關係觀察天星的說明，然後回答紲接兩个問題。若是欲好好仔探索空中的天星，有幾項事必須愛加注意。首先就是愛選擇觀察天星的時間。觀星的時間會當選佇舊曆的22到初6的這段期間。假使無欲看通暝的天星，按呢觀星的時間上好是揀佇每個月下旬。這時月娘會佇三更了後peh起來，佮天星比起來，月娘是較光，所以月娘peh起來了後觀察就會當結束。若是有規暝的時間通觀星，而且若是除了天星嘛想欲看著銀河，煞無欲予月娘攪擾，按呢觀星的時間上好揀佇每個月拄開始的幾工內。另外，觀察天星的地點嘛要好好仔決定，上好愛有幾个備用的地點。這是因為佇野外觀星上驚拄著歹天，欲出發觀星進前，上好看覓仔天氣預報。,若想欲規暝觀察天星閣看著河溪，下跤佗一段時間是上好的？,逐个月的初一到初七,逐个月的初八到十六,逐个月的十七到二二,逐个月二二到三十
172537,復活節是基督教的重要節日，紀念耶穌基督予人釘死了後第三工復活的事蹟，人認為是象徵重生佮希望。復活節彩卵是西方國家咧慶祝復活節的習慣，傳統是使用經過染色的卵，現代的習慣是使用卵形的巧克力代替。彩卵一般事先藏好勢，然後予囡仔來揣，象徵友誼、關愛佮祝福。基督徒以復活卵比喻做「新性命的開始」，象徵「耶穌復活、行出石墓」。西方人相信卵有兩擺生命，第一擺是「新生」，第二擺是「重生」。,請問：西方人相信一粒卵有幾擺的性命？,一擺,兩擺,三擺,四擺
182537,李小龍的好功夫是「頂港有名聲，下港上出名」，若按呢李小龍的功夫是按怎來的？李小龍對武藝有興趣，就共所有講功夫的冊攏買來看，毋管是講武當、少林、空手道、揍拳、劍道、相偃的冊伊攏研究，閣創造出家己的一套武功。伊上厲害的是「截拳」，就是共逐種無仝的武藝好的所在敆起來，得著一種厲害的步數。,下跤對李小龍的描述佗一个正確？,袂曉武當派的功夫。,佮真濟老師學。,綜合無仝種的武藝。,足討厭看冊。
192537,"查埔：你好！遮會使為你服務。
查某：你好！我想欲申請新門號。
查埔：請問你上網佮講電話的需求，佗一個較懸？
查某：我平常時攏用line講電話。
查埔：若按呢我推薦你辦網路食甲飽，這馬一個月只要納499箍，就會使網路食甲飽矣。
查某：阮朋友講網路食甲飽干焦愛299箍，那會佮你講的無仝款。
查埔：彼是佗一種方案咧？抑是你的朋友佇佗位做工課？
查某：伊是陽光公司的員工，伊講伊網路食甲飽只要299箍。
查埔：彼應該是企業用戶專案。愛透過陽光公司的專員才會使辦理。
查某：你按呢袂使直接辦理？我人攏來門市矣。
查埔：歹勢啦，企業用戶專案一定愛予專人辦理，一般的門市是袂使辦的。",請問對話中的查某人想欲辦理啥物業務？,申請通話量加一倍的新號碼,申請月租499箍的新門號,申請網路食甲飽的新門號,申請公司業務用的新門號
202537,歷史上，人類從來毋捌像現代人按呢的長時間坐咧。坐久的歹處真濟，上蓋明顯就是足濟慢性病煞來產生。哲學家蘇格拉底講：「身體的健康會因為無咧運動變䆀，嘛會因為長期有運動和練習，煞變好。」這句話真適合來形容現代人。總講一句，無運動是百病之源，適當的運動，才會健康。,蘇格拉底的話是啥物意思？,現代人坐較久。,運動才會健康。,較早的人攏坐較久。,讀歷史會健康。
212537,"查埔：中式食食的名看起來是誠特別，比論講：「涮涮鍋」的「涮」到底是啥物意思？
查某：中國菜有一寡名會當看出伊的作法。「涮涮」就表示共切好的薄肉片仔囥佇燒唿唿的湯頭內底，燙一下仔就連鞭提去搵豆油食。醉雞嘛是按呢，「醉」的作法是共炊起來的雞肉囥佇酒內底浸一陣仔，予雞肉有另外一款無仝的滋味。
查埔：我足愛食紅糟肉，敢講「糟」嘛是一个料理的方法？
查某：糟是用酒囥落入去豉的方法，紅糟是激酒過濾的時陣留落來的酒糟，紅糟肉是用酒糟、豆油遐的醬料共糊起去三層肉的表面，紲落去共豉過的豬肉囥踮冰箱內底，冰三工至五工，落尾仔才提出來糋。
查埔：講遐爾濟好食的，我腹肚足枵的，咱緊來去食飯！
查某：好，咱來揣一間餐廳，點你愛食的菜。",對話中的兩个人，若是佇餐廳食飯，上有可能會點佗一項菜？,醉雞,燙羊肉,紅糟肉,蒜茸白肉
222537,有一站仔，阿仁佮意騎鐵馬到附近的庄頭運動，庄跤所在的路定定予伊爽神。有一擺，阿仁佇路邊看著一尾赤尾鮐，蛇看著伊嘛毋驚，老神在在對路邊的草葉仔堆趖過去，彼時陣阿仁咧相伊的鱗，青錦錦，心內想講雖罔是毒蛇，毋過袂主動攻擊人，有啥通驚的咧？伊的身軀蟯咧蟯咧，看起來是遮爾自然。閣有一擺，阿仁看著幾隻長尾山娘，規陣對伊頭頂飛過，那發出「gā-gā-suè」的聲音，彼條長長的尾，若親像一領譀古的藍色禮服，莫怪有「長尾山娘」的稱號，𪜶當齊飛，聲勢真正有夠大。,有關阿仁，下面佗一个描述是著的？,佮意到大都市𨑨迌。,看著蛇會落跑。,看過長尾山娘。,袂曉騎鐵馬。
232537,"這幾年來，愈來愈濟金光黨利用電話、訊息來共民眾騙錢，政府為著欲阻止民眾去hőng騙去，提供民眾查詢的管道，2004年成立「165反詐騙諮詢專線」。假使講懷疑家己接著金光黨的電話，只要用厝裡的電話抑是手機仔直接敲165，就會使問佮詐騙有關係的問題。
政府共民眾提醒，若是接著懷疑是詐騙的電話，一定愛「一聽、二掛、三查」。一聽：聽清楚這通電話咧講啥？敢有啥物關鍵詞？二掛：聽了，隨共電話掛掉。莫予別人控制你的心情。三查：緊敲165反詐騙專線，共聽著的電話內容攏共165的服務人員講，予伊查看覓敢是詐騙的電話，較免無細膩去hőng騙去。",王先生接著一通可疑的電話，根據這篇文章，伊應該愛按怎做？,共講電話內底的人講愛敲165反詐騙專線,聽了電話的內容了後受氣罵𪜶無道德,電話聽了後毋免記得電話的內容,電話講煞敲165反詐騙諮詢專線詢問
242537,"查埔：今年度的金曲獎入圍名單已經公布矣，你有注意無？
查某：根據我的了解，這擺佇上好的查埔歌手這爿競爭是足激烈的，有幾若組是一角分兩半──五分五分，每一个歌手攏有家己上紅閣上衝的歌，看來一定予評審佇遐咧傷腦筋，毋知欲投票予啥人。
查埔：這就是上四常看著的「逐个人攏有希望，無一个講有把握」，足期待會當緊公佈著獎的名單。
查某：你臆啥人的著獎的機會上懸？
查埔：以我看，甲歌手伊的實力誠堅強，乙歌手後日仔誠有範勢，曷若少年仔較佮意是丙歌手。
查某：講規晡，你猶是無共我講答案。好啦，咱做伙等待典禮開始好矣。",對話中的查埔臆啥人會著獎？,甲歌手,乙歌手,丙歌手,伊無講
252537,"男：妳好！妳敢是對韓國來的交換學生？
女：無毋著，請問你是？
男：我是語言課的助教，3點鐘的正式課程以外，我負責逐禮拜安排2點鐘的時間，佮妳一對一練習口語。
女：請你指教。
男：妳啥物時間較利便？
女：拜四佮拜五下晡，我攏有閒。
男：按呢咱約拜四下晡好無？我彼陣嘛拄好無課。
女：好。請問你敢有kakaotalk？
男：無呢，我干焦有line。
女：我來安裝line，台灣敢若足少人咧用kakaotalk。
男：無要緊，我嘛會當安裝kakaotalk。
女：假使無閒通見面，咱敢會當透過通訊軟體練習？
男：我愛先共老師問看覓。",請問下底描寫佗一个毋著？,對話裡的查某學生對韓國來,對話地點佇咧台灣,𪜶逐禮拜愛開三點鐘練習口語,𪜶逐禮拜四下晡練習口語
262537,阿木（查埔）：咱中年人除了行路以外，上好是會當略仔走咧，你雖然講有小可仔中風，但是敢會當走？阿昭（查某）：喔。敢是按呢？阿木：我講的走，毋是講愛走足緊的，是慢慢慢仔走彼款的，比行路閣較緊小可仔。阿昭：誠實的喔？阿木：按呢你敢會當寬寬仔走無？阿昭：我從到今攏嘛行路爾。,查某的狀況是？,因為中風袂當行路。,因為中風袂當慢慢仔走。,本來就干焦行路。,真想欲走。
272537,上四序的森林浴，就是會當佇塗糜步道散步抑是運動。人通那吸收豐富的氧氣、陰離子、芬多精，遮的活潑的分子通予血壓降低，予心跳較慢，閣會刺激副交感神經，加強身體的免疫，甚至通好洗除掛慮，消敨心情。台灣有濟濟森林浴場，若有閒就邀請來規劃一逝森林浴的旅行。,下面佗一个毋是森林浴的優點？,心跳降落來。,加強免疫力。,血壓衝懸。,心情放鬆。
282537,歌仔戲是台灣本土出身的戲種，主要是用台語演出。上早對宜蘭開始，頭仔本來是宜蘭在地的「落地掃」，初初干焦福建漳州移民共in家己家鄉流傳的「歌仔」小調紮來，了後佮宜蘭在地流傳的「車鼓」結合。,關於這段文字的描述下跤佗一項正確？,歌仔戲是用台語為主要演出語言的台灣本土戲種,臺灣歌仔戲是對臺南開始的,福建漳州時行的「落地掃」其實來到臺灣了後，摻入「官將首」變成「歌仔戲」,車鼓陣嘛是對大陸過海來台灣的文化
292537,"男：你欲按怎坐飛行機去非洲？
女：台灣無直接到非洲的飛行機，所以，我會先到巴黎，才對巴黎去非洲。",根據這段對話，𪜶講著啥物？,會當坐飛行機對台灣直接飛到非洲。,從台灣坐飛行機到非洲的時間足久的。,對咱台灣坐飛行機到非洲足方便的。,對台灣坐飛行機到非洲足緊的。
302537,"查埔：今仔日音樂課老師發新的樂譜，愛阮轉來厝裡練習，毋過樂譜的頂懸哪會攏是數字，我看攏無。阿青，你看老師是毋是參數學課的講義提重耽啊？
查某：阿強，你上課敢有咧聽啊！老師今仔日有解說，這是簡譜，干焦用數字表示音階！自一開始是do，照順序排落去到七是si。
查埔：按呢數字的頂懸有一點是代表啥物意思？
查某：彼是表示仝音懸八度的音階！我真正都毋知欲按怎講你。",阿青對阿強音樂課的上課態度有啥物感受？,佩服,肯定,呵咾,無奈
312537,臺灣的民俗廟會會綴咧百姓的生活習慣佮信仰代代相傳，經過地域抑是環境變遷的影響，衍生出如今真有地方特色的風俗，像臺東特有的元宵風俗就是一个真符合的例。佇2019年春節電影界透過聲光影音效果，頭擺共臺東的「炸寒單」搬上螢幕頂。相傳寒單爺原本是一个為非糝做、魚肉鄉民的鱸鰻，毋過受著神明點化了後，為著表示虔誠懺悔，所以褪腹裼遊街，予民眾洩憤以減輕家己的罪孽，落尾變成財神爺。民間百姓相信對寒單爺放的炮仔若放甲愈旺，就會帶愈濟的財富。,請教：炮仔糋寒單爺是逐年的幾月？,新曆一月十五,若新曆十二月二五,舊曆的一月十五,舊曆的二月十五
322537,"男：你下昏暗敢有閒？欲做伙食暗頓無？
女：歹勢，我逐禮拜三暗時攏有工課，咱另工才閣約乎？
男：好啦。你下昏暗是欲做啥物工課？
女：我欲去附近的酒吧唱歌，看人客願意予我偌濟小費，這加減會當補貼一寡生活費。
男：我會當去看你唱歌無？我真樂意予好聽的歌聲足濟小費。",請問這位先生欲創啥？,伊拜三愛做工課,伊欲去酒吧表演,伊欲去看這位小姐表演,伊欲和朋友食飯
332537,"男：妳去英國的時，敢有食過糋魚仔馬鈴薯條？
女：聽講英國的糋魚仔馬鈴薯條足出名，毋過我食菜，所致我無食。",請問這个小姐的意思是啥？,伊感覺糋魚仔馬鈴薯條足歹食,伊有食，尚且感覺氣味十足。,伊較愛食鮮的魚仔,伊無咧食肉，所致伊無食糋魚仔馬鈴薯條
342537,"A：咱上尾工愛表演十五分鐘的成果戲劇-『哈利波特遊台灣』，愛有四位主角來演兩幕：一幕是九又四分之三月台，一幕是第一工上課分配去四間房間，其他的學生仔愛用有學過的句型來講出家己的魔法，而且愛表演出來。
B：老師，我想欲表演魔術，誰欲演哈利波特？我想欲演主角。
A：恁上無愛用著這四句：我上佮意的…就是，對我來講…，一點仔嘛袂…，講出我的魔法就會使。",請問成果戲劇表演主要欲演佗兩幕?,九又四分之三月台、哈利波特遊臺灣,哈利波特遊臺灣、我的魔法,九又三/四月台、第一工上課分配去四間房間,我的魔法、第一工上課分配去四間房間
352537, (畢業典禮。小學仝班同窗)男：天啊！咱欲畢業矣，足傷心喔！同窗六冬矣呢，有影足毋甘。女：著啊！誠艱苦，後擺袂當做伙扛便當kheh仔，寫宿題，閣有掠肚kuai仔。男：閣有，我逐擺予人欺負的時，攏嘛妳咧替我擋銃子。女：滾耍笑？你一欉躼sia̍k-sia̍k，莫欺壓別人就偷笑矣，siáng敢共你霸凌？男：猶閣有，足數念會當做伙答喙鼓的日子。毋過，咱敢若會鬥陣去讀民生國中啊！女：著啊！咱讀仝一間國中，是咧艱苦啥？無聊！緊看是siáng咧台頂領獎？男：無愛看啦，都無我的份！,請問這兩个同窗對小學六年的記持感覺按怎？,因為予人欺負足驚惶,因為做伙扛便當kheh仔、掠肚kuai仔足數念,因為冤家答喙鼓煞來田無溝水無流,因為in無相捌煞無要無緊
362537,"女：這齣電影真熱門，咱上好較早去電影院買票。
男：免煩惱，我tsa̋ng就已經共咱兩个買電影票矣，嘛先透過網路劃位矣。
女：敢按呢？好佳哉，按呢咱有較濟時間通準備。
男：毋過我無加買磅番麥佮khòo-lah，你有欲食無？
女：我看電影絕對袂無磅番麥，咱猶是較早去買磅番麥好矣。",請問這位先生有做啥物？,伊有買磅番麥佮 khòo-lah,伊透過網路拆電影票,伊拒絕佮這个小姐做伙看電影,伊想欲看冷門的電影
372537,"表小弟：表姊啊，若是三叔仔猶佇咧就好矣，他會當教我游泳。
表姊：他雖然是水鬼仔，毋過無定著就會曉共人教。
表小弟：是按怎？
表姊：較早佮伊去游泳池的時，共伊問講欲按怎泅水？啊伊都講，啊就按呢，按呢啊，手比比咧，真簡單啊! 
表小弟：敢有影？遐爾仔簡單？
表姊：表弟啊，騙你欲創啥物咧？會曉游泳無代表會曉教游泳啦！
表小弟：啊毋過你泅水敢毋是伊教的？
表姊：著啊！    ",關於三叔的敘述佗一个是正確的？,毋捌看過水雞。,捌教表姊泅水。,捌教表弟泅水。,攏袂曉泅水啦。
382537,"丁丁（男）：今仔足冷的，咱來後車頭的薑母鴨餐廳補一下。
喬喬（女）：俗語講：『立冬補一下，明年無病痛。』就是這个意思。中國古早人佇無仝季節會配合食適合的食物來養生。尤其佇某一寡節氣會選擇著時的食材補身體。
丁丁：古早時代的『立冬』代表寒天欲開始，人選擇燒烙潤澤的食物進補，譬論講薑母鴨、羊肉爐，著無？
喬喬：無錯！因為人體的器官對應五行理論與季節，所以寒天主要是保養腰子。行！咱緊來食補養生！",根據對話，下面佗一个是著的？,華人進補養生會配合節氣,兩个人欲去食羊肉爐,干焦冬天會當進補養生,冬天養生愛注意溫度
392537,《創造的勇氣》這本冊講，藝術家有才調看著原創景觀。𪜶一般攏有不止仔強的想像力，嘛有一種十足發展的形式感，會當避免予人絞入災難的情境裡。𪜶是邊界巡邏的兵士，行佇眾人面頭前，勇敢探揣未來。只要咱斟酌聽𪜶的心聲，就會當得著面對未來閣較十足的準備。,藝術的優點，下底佗一个是著的？,予人毋敢探揣。,缺欠想像力。,面對未來的準備。,引來痛苦災難。
402537,本文以美國教育家杜威的教育理論做基礎，教育的目標是「學中做」、「做中學」以及教材著愛建立佇了解囡仔的心理佮認捌的基礎上，所以講華語的教材，以會當發展囡仔的學習動機做前，予囡仔運用對故事文化的理解帶出對第二語言的掌握度，而且主動引起學習的自我參與程度和閱讀佮口說的能力。創新的教材以兒童的童話故事劇情為主軸，加入華語初級詞彙佮對話來引𤆬學生的學習理路。學習的具體目標是會當掌握關鍵的句型，閣再延伸到日常的生活對話。,請問作者認為教材著愛建立佇佗一方面?,建立佇咧了解美國教育家杜威的理論頂懸,建立佇學中做、做中學的目標頂懸,建立佇咧了解囡仔的心理佮認捌的基礎頂懸,以上攏是
412537,"女：我一个外國朋友共我講，伊細漢時捌食過臺灣出口的蘆筍罐頭，我上網查資料，發現講1960～1980年代，稻仔、糖、洋菇、蘆筍是臺灣重要的外銷農產品，為臺灣趁真濟錢。
男：既然蘆筍攏外銷，是按怎彼陣阮爸定定買彼一罐的蘆筍汁？雖然蘆筍汁甜甜，我卻是真少啉，我袂使接受蘆筍汁的味。
女：當年蘆筍欲裝做罐頭外銷進前，愛先共纖維化的外皮㔂掉，㔂掉的皮無擲掉，顛倒共加工絞汁，做成一罐一罐的蘆筍汁來內銷。
男：莫怪當年阮爸定定買一罐的蘆筍汁。蘆筍抑是蘆筍汁有啥功效無？
女：蘆筍有豐富的礦物質、維生素、葉酸等成份，會當降血壓、消除疲勞、予新陳代謝愈順利、增加免疫力。
男：既然蘆筍對身體健康真有好處，我應該加食寡蘆筍或者是加啉寡蘆筍汁。",根據這段對話，蘆筍汁是用蘆筍的佗一个部位製作的？,蘆筍皮,蘆筍葉,蘆筍根,蘆筍莖
422537,查埔：哇!想袂到旗津嘛有這款功學社的舊型機車。                  查某：這是我的機車啊!攏生鉎生甲，毋過猶會當騎。             查埔：這台拍速車上無嘛有三十年矣是無?       查某：四十年矣啦!以早這款拍速車，就親像這馬的『GOGORO』仝款遮爾仔時行。你有舊型的機車無？                  查埔：我有一台舊型的追風，阮阿舅予我的。,佗一个是正確的？,這位小姐有一台『GOGORO』。,這位小姐的機車是追風。,這位小姐的機車猶會當騎。,這位小姐的機車已經有三十年矣。
432537,設立婦女節的想法上頭先是佇二十世紀初產生的，彼當時西方各國拄好佇快速工業化佮經濟增長的階段。惡質的工作條件佮真低的工資致使四界種種抗議佮罷工的活動。西元1857年3月初8，美國紐約做衫佮紡織的女工上街頭，抗議惡質的工作條件佮真低的工資。就算講後來政府派警察去攻擊遐抗議的人閣共𪜶攏總趕走，毋過這擺的抗議活動致使兩年後頭一个工會組織成立。,請問這段文字的主要是講啥物？,二十世紀初，彼當時西方各國當佇咧工業化佮經濟快速增長的階段。,二十世紀初，真䆀的工作條件佮真低的工資致使四界攏有抗議佮罷工的活動。,1857年3月初8，警察攻擊遐的抗議的人閣共𪜶攏總趕走。,1857年3月初8，美國紐約做衫佮紡織的女工上街頭，抗議真䆀的工作條件佮真低的工資。這致使兩年後頭一个工會組織成立。
442537,臺灣的諺語有一句講「九月九，風吹滿天吼」，這句話內底的「風吹」就是『風箏』的臺語，因為臺灣九月吹東北季風，是放風吹的好時間。,關於著這段文字，下面佗一个選項正確？,「風吹」是華語「吹風」顛倒用法，兩个意思仝款。,九月九的東北季風予人毋敢外出,「風吹」是華語「風箏」的意思,這句俗諺是對中國大陸傳過來的用語
452537,A：年底縣市長欲改選，你欲頓予啥人，敢想好勢矣？B：猶未。這改選舉真重要，選民著愛斟酌了解候選人的演講內容，對𪜶提出的政見有夠熟，按呢才會當揀一个清廉拍拚、有才調避免黨派的惡性競爭佮衝突、閣會當替人民思考、維護人民權益的縣市首長。A：是啊，希望咱會當用選票，選出一个好的執政者。當選上任了後，市長會組成內閣，接受議員的監督，希望尾來當選的人會當趕緊展現政績，帶領人民做伙趁大錢啊！,下面佗一个毋是選民對縣市長的期待？,愛會當思考人民的權益,愛斟酌準備佮瞭解演講內容,避免黨派衝突,會當實現政績
462537,"鈴木：張經理你好，逐家敢攏到矣？欲先點菜無？
張經理：好啊。
鈴木：張經理推薦佗一寡台灣料理？
張經理：我推薦烘烏魚子、紅糟肉、三杯雞、王梨蝦球、菜脯卵、炒烏甜仔菜、閣佮一盤肉絲炒飯。食飯飽閣食看覓綠豆薏仁湯。
鈴木：好，按呢就照你所推薦的。這擺通遐緊簽約，愛多謝張經理鬥相共。
張經理：阮真歡迎貴公司來台灣投資，阮公司一定盡力協助貴公司佇台灣的業務。
鈴木：多謝張經理。這是阮國家的工藝品，是欲送予貴公司的謝禮。
張經理：恁傷客氣矣，欲啉寡台灣bì-lù佮紹興酒無，保證你呵咾kah會觸舌！",請問張經理點啥物菜？,塗豆豬跤,烘烏魚子,肉絲米粉炒,宮保雞丁
472537,尹雪艷誠迷人，出名了後，難免予人嫉妒。有的仝徒的姊妹看了紅目，就四界放話：尹雪艷的八字帶重煞，犯白虎，人若磕著，較輕的敗家，若重的人亡。若是這點顛倒加添伊的神秘感，予伊的名聲愈響亮。,請問根據這段文章，後壁佗一个選項佮「尹雪豔八字犯重煞」無關係？,增加尹雪豔神秘感,同行因為怨妒來放話,會予接近伊的人家敗人亡,忠孝仁愛信義和平
