漢字,華語
物件買二手的較俗。,東西買中古的比較便宜。
八仙綵,繡有八仙的紅彩，在喜慶時掛在門楣上
你莫共伊刁古董。,你不要為難他。
伊一禮拜至少愛賣三百个，才袂了本。,他一星期至少要賣三百個，才不會虧本。
人生短短仔,人生苦短
刀石提來磨刀仔。,磨刀石拿來磨刀子。
媠，媠無十全；䆀，䆀無加圇。,人不會是十全十美的。
十全大補湯,合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。
十全十美,十全十美
算命仙的講𪜶兩人的八字袂合。,算命先生說他們兩人的八字不合。
七早八早，你就想欲歇睏？,時間還早，你就想休息？
你講閣較濟伊嘛聽袂入耳。,你說再多他也聽不進去。
食甲七老八老矣，猶閣毋認老。,活到七老八十了，還不認老。
你著較拍拚咧，毋通做了尾仔囝。,你要更努力一點，不要做敗家子。
講著種花伊閣有二步七仔！,說到種花他還有點能耐！
睏飽了後，氣力十足。,一覺睡醒之後，全身都充滿了活力。
九芎仔柴,九芎樹
人事室,管理機關人員的辦公處所
盡人事順天意。,盡人事聽天命。
過年時仔伊會用外國酒來做人事。,過年的時候他會用外國酒來做公關。
陳家二房的囝孫仔攏真老實。,陳家二房的子孫都很老實。
大人物,有地位有名望的人
十花五色的人,形形色色的人
我今仔入門，電話就來矣。,我剛進門，電話就來了。
我想欲趕緊共你娶入門。,我想要趕快將你娶進門。
學音樂，我拄入門。,學音樂，我才剛剛入門。
哲學入門,哲學入門
咱愛好好仔招待人客。,我們要好好招呼客人。
店內人客真濟。,店裡顧客很多。
你出門了後，伊就醒矣。,你出去之後，他就醒了。
七星陣,依照北斗七星排列所設的陣式
大姊昨昏二指去予玻璃幼仔割著。,大姊昨天食指被碎玻璃割到。
伊是刁持欲佮我做對的。,他是故意要和我作對的。
我是刁持來看你的。,我是特別來看你的。
伊刁故意欲講予你氣。,他故意這麼說要惹你生氣。
你毋通遐八珍。,你不要這麼三八。
伊的人面真闊，拜託伊就無毋著！,他的人脈很廣，拜託他就沒錯！
這个案件是人倫悲劇。,這個案件是人倫悲劇。
公務人員,公務人員
阮這个單位的人員無夠，工課才會做袂完。,我們這個單位的人數不足，工作才完成不了。
你當時欲入厝？,你何時要搬入新家？
咱愛包禮共伊入厝。,我們要包禮慶賀他入新家。
一戶人家,一戶人家
做人愛重人格。,為人要注重人格。
我用人格共你保證。,我用人格跟你保證。
伊閣不止仔有人氣。,他的人緣還算不錯。
兩隊人馬佇街仔路相拄。,兩隊人馬在街道相遇。
伊昨暗入院。,他昨晚住院。
做人情予伊。,給他一個人情。
人在人情在。,人在人際關係就在。
人情世事有夠濟。,禮尚往來的事情有夠多。
伊真有人望。,他很有名氣。
人造雨,人造雨
這支刀的刀喙真利。,這把刀的刀口很鋒利。
戲園五點才會使入場。,戲院五點才能進場。
這个囡仔欲食毋討趁，有夠了然。,這個孩子只顧白食不肯賺錢，實在枉然。
咱愛靠家己的力量拚出咱家己的前途。,我們要靠自己的能力拚出自己的前途。
伊毋是刁意故的。,他不是故意的。
伊又閣來矣。,他又來了。
規間厝恬恬無聲，連半个人影嘛無。,整間屋子靜悄悄的，連半個人影都沒有。
用九層塔煎卵真好食。,用九層塔煎蛋很好吃。
伊的人範袂䆀。,他的人品不錯。
伊真有人緣。,他很有人緣。
我今年就欲入學去讀冊矣！,我今年就要入學去讀書了！
伊彼幅圖有入選無？,他那幅畫有沒有入選？
伊做啥物生理攏了錢。,他做什麼生意都賠錢。
這號物件都已經有矣，你閣欲買，加了錢的。,這個東西已經有了，你還要買，多花錢而已。
這間店是算人頭收錢的。,這家商店是按人數收錢的。
警察掠著的是人頭，毋是真正的頭家。,警察捉到的是人頭帳戶，而不是背後的主使者。
力頭真飽,力道真大
無佮意你就講，何乜苦共伊刁難？,不喜歡你就說嘛，又何必故意為難他？
三生有幸,三生有幸
三隻狗,三條狗
上車,上車
上山,上山
上桌,把食物或其他東西端上桌
上水,從井裡頭用水桶把水打上來
上青苔,長青苔
水面上,水面上
上好,最好
天跤下,天底下
拍三下,打三下
驚一下,嚇一跳
下班,下班
下課,下課
下令,宣布命令
南下,往南部去
下集,下集
下級,下級
物件無位通下。,東西沒地方放。
下鹽,在食物中放鹽
乞食下大願。,乞丐許大願。比喻人明明沒有能力，卻好高騖遠。
懸低,高低
低音,低音
兩个人,兩個人
魚丸,魚肉製成的小丸子
彼兩丸烏烏的物件是啥物？,那兩球黑黑的東西是什麼？
伊離開真久矣。,他離開很久了。
等一點鐘久矣。,等了一小時了。
這久,現在
彼久,那時候
么二三,一二三
乞符仔,向道士求討符咒
乞雨,求雨
這項物件有也好，無也好，攏無要緊。,這個東西可有可無，都沒關係。
亡國,亡國
亡兄,亡兄
新亡,新死者、剛過世的人
傷亡,傷者和死者
流亡,流亡
平凡,平常、不出色
凡事,無論什麼事情
凡間,凡間
仙女下凡,仙女下凡
千辛萬苦,千辛萬苦
一千箍,一千元
開叉,開叉
竹篙叉,有Y字型開叉竹竿的樹椏
叉人的頷頸。,掐別人的脖子。
拍叉做記號。,打叉做記號。
用話叉人,用話頂撞別人
店門口,商店門口
一口井,一口井
一口劍,一把劍
一家口,一家人
一口灶,一戶
土地,土地
伊的人較土。,他的個性較老土。
本土,本土
土產,土產
博士,博士
士農工商,士農工商
大官,公公
大家,婆婆
大量,大量
大德,大德
阮大兄大我三歲。,我大哥比我大三歲。
大紅,深紅色
大人,大人
大昨日,大前天
大後日,大後天
大伯,大伯父
大姊,大姊
囡仔會大，早慢是愛離開。,小孩子會長大，遲早得要離開。
婦女,婦女
女權,女權
銃子,子彈
果子,水果
菜子,菜種
烏魚子,烏魚子
公子,稱人子
孝子,孝順的兒子。也指父母死後，居喪守孝的兒子
孔子公,孔子
女子,女子
男子,男子
子弟,子弟
弟子,弟子
子丑寅卯,地支前四位
甲子年,干支為甲子的年分
子時,晚上十一點至第二天凌晨一點
面子,面子
棋子,棋子
算盤子,算盤的珠子
一子弓蕉,一根香蕉
陰鴆陰鴆，咬人三寸深。,一般陰沉的人，平常多是默不作聲，一狠起來，就會狠咬一口。
寸步難行,一小步也行走不得，喻處境困窘。
小寒,二十四節氣之一，冬至過後十五天，因天候寒冷所以有這個名稱。
小女,自己的女兒
小湧,小浪
小可,稍微、一點點
小想一下,稍微想一下
小叔仔,丈夫的弟弟
阿里山,阿里山
懸山,高山
起山,登陸
山園,旱田
山地,旱地或指山很多的地區
我一禮拜愛上班五工。,我一禮拜要上五天班。
勞工,勞工
工人,工人
木工,木工
工程,工程
伊刻這粒印仔真了工。,他刻這顆印章花很多時間。
我無彼號閒工佮你開講。,我沒有多餘的時間跟你聊天。
工場,工廠
工業,工業
化工,化工
工尺,工尺
安份守己,安份守己
自己,自己
巳時,上午九點到十一點
面巾,毛巾
手巾仔,手帕
干戈,盾和矛，原指兵器，後多引申為戰爭。
天干,甲乙丙丁戊己庚辛壬癸十天干
干涉,干涉
干犯,冒犯、侵犯
弓箭,弓箭
衫弓仔,衣架
弓蕉,香蕉
弓大豬,以過量餵養的方式，把豬隻的體型在短時間之內撐得更大，通常在即將販售或競賽之前進行。
大步弓,張大步伐快速走
一弓弓蕉,一枝香蕉花所結的一長串香蕉
才調,本事、能力
無才,沒本事
將才,將才
秀才,秀才
奴才,奴才
這馬我才知影伊是騙我的。,現在我才知道他是騙我的。
伊才十七歲爾爾，袂使啉酒。,他才十七歲而已，不能喝酒。
我才無欲相信你講的話！,我才不相信你說的話！
後擺我才共你講。,以後我再告訴你。
電影看煞才來去食飯。,電影看完再去吃飯。
這款木材一才偌濟？,這種木材一才多少錢？
阮丈人明仔載欲起來臺北。,我的岳父明天要北上到臺北。
三八人,傻氣不正經的人
伊是一个土人，講話較凊彩，你毋通佮伊計較。,他是一個粗人，說話比較隨便，你不要跟他計較。
警察大人,警察大人
大人儉一喙，囡仔食甲飫。,大人少吃一口，小孩子就可以吃得飽，甚至吃到膩了。
囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。,孩子還小，你不要打得那麼用力。
對臺北坐高鐵到臺中上久是一點捅鐘。,從臺北坐高鐵到臺中最久是一個多小時。
頂禮拜阮一陣人上山去看風景。,上個禮拜我們一群人登山去看風景。
我欲準備下山矣。,我要準備下山了。
伊久久才來一擺。,他相隔很久才來一次。
伊拍一下傷大下，箠仔煞斷去。,他打得太用力，竹枝竟然斷掉了。
伊真小口，食袂濟。,他食量很小，吃不多。
男子漢大丈夫,男子漢大丈夫
叫你莫，你干干仔欲！,叫你不要，你偏要！
山頂的暗暝，會使看著千千萬萬粒星。,山上的夜晚，可以看到成千上萬顆星星。
姑婆的翁我愛叫伊「丈公」。,姑婆的先生我要叫他「姑公」。
這馬下勻的少年人，想法佮阮往過攏無仝。,現在小一輩的年輕人，想法和我們以往不同。
大不了予人罵罵咧爾爾。,頂多被罵一罵而已。
伊三不五時就來阮兜行踏。,他不時來我們家串門子。
伊三不五時會有新作品出版。,他不定時有新作品出版。
你這款土公仔性著愛改啦！,你這種粗魯的個性要改一改！
伊就是彼款土公仔性，你莫佮伊計較。,他的個性就是那麼粗魯，你不要和他計較。
請上天保庇咱臺灣會當安定佮富裕。,請上蒼保佑我們臺灣能夠安定和富裕。
彼項工夫伊已經學上手矣。,那項技術他已熟練了。
諞仙仔錢諞上手就溜旋矣。,郎中錢一騙到手就開溜了。
彼口井敢閣有咧上水？,那口井還有人在取水嗎？
先下手為強,先下手為強
下水湯,用禽類動物內臟煮成的湯
伊出手真大方，攏袂凍霜。,他出手很慷慨，一點也不會小氣吝嗇。
伊今仔日的穿插真大方。,他今天的穿著很得體，有大家的風範。
今仔日是大日，真濟人嫁娶。,今天是好日子，很多人嫁娶。
運動會閣拄著出大日，逐家一定會曝甲烏趖趖。,運動會又遇到大晴天，大家一定會曬得很黑。
你若欲做衫，愛先量寸尺。,你如果想要做衣服，要先量身材尺寸。
囡仔人騎車愛小心，毋通騎傷緊。,小孩子騎車要留意謹慎，不要騎太快。
舊曆的小月干焦二十九工爾爾。,農曆的小月只有二十九天而已。
這個月是小月，來阮店交關的人客有較少。,這個月是生意淡季，來我們店裡捧場的人比較少。
伊是做小木的。,他是製作家具的木工。
這馬練工夫真時行。,現在很流行練功夫。
這條手巾仔做了有夠工夫。,這條手帕做得很細緻。
伊的工夫袂䆀。,他的技術不錯。
咱攏是熟似人，毋免遐工夫。,我們都是彼此熟識的人，不用那麼多禮。
你做代誌毋通三心兩意。,你做事情不要猶豫不決。
伊拍球拍甲大心氣。,他打球打到喘不過氣來。
你閣會曉西瓜倚大爿，知影欲綴阮行。,你還會見風轉舵，知道要跟著我們走。
你的年歲比我較濟，大爿讓予你坐。,你的年紀比我大，左邊這個位子就讓給你坐。
冊愛用巾仔包咧。,書要用布巾包著。
啥人叫你大主大意做這件代誌？,誰叫你擅作主張做這件事？
這毋是啥物大代誌。,這不是什麼大事情。
遮的上加是兩百箍。,這些頂多兩百元。
上北的火車,北上的火車
小可仔代誌毋免囥佇心肝內。,一點小事不用放在心上。
這馬柑仔大四界。,現在到處都是橘子。
伊攏愛等甲下半暝才睏會落眠。,他都要等到下半夜才睡得熟。
股票上市,股票上市
做生理愛敢下本，才會成功。,做生意要敢投入本錢，才會成功。
大本蕹菜,大型空心菜
伊是這个歌仔戲班的小旦。,他是這個歌仔劇團裡的小旦。
伊看別人無上目。,他瞧不起別人。
欲予伊看會上目無簡單。,要讓他看得上眼不簡單。
伊隨上台就袂記得愛唸口白。,他一上臺就忘了要唸旁白。
大目新娘揣無灶。,大眼睛的新娘沒看見爐灶。諷刺一個人對於近在眼前的大目標，居然看不見。
彼个小生真緣投。,那個小生長得真英俊。
伊明仔載欲上任矣。,他明天要就職了。
我無欲放伊干休。,我不會放過他。
請問你的大名是？,請問你的大名是？
伊的大名，大部份的人攏知。,他的大名，多數人皆知。
較早踮厝內，大囝的責任較重。,早期在家裡，長子的責任比較重。
你這个臭小囝，哪會無代無誌共人拍？,你這個臭小子，怎麼無緣無故就打人呢？
彼个唱歌唱了上好的人，是阮姊仔。,那個唱歌唱得最好的人，就是我姐姐。
這件代誌你上好是莫管。,這件事情你最好別管。
有也好，無也好。,有也好，沒有也好。
生理人初二、十六攏有拜土地公。,生意人初二、十六都拜土地公。
下早仔去較袂熱。,早上去比較不會熱。
下早仔伊有來揣你。,今天早上他來找你。
伊是一个大耳豬。,他是耳根軟的人。
我若緊張就會大舌，話攏講袂清楚。,我若緊張就會口吃，話都說不清楚。
母舅坐大位。,舅舅坐主位。
好田地不如好子弟。,擁有良田美地，不如養育上進乖巧的好子孫。
恁小弟今年幾歲矣？,你弟弟今年幾歲了？
小弟真歡喜來到貴寶地。,我很高興來到貴寶地。這句話也是走江湖的開場白。
請問這位小弟按怎稱呼？,請問這位小兄弟怎麼稱呼？
北管戲嘛叫做亂彈、子弟戲，是早期臺灣時行的傳統戲曲。,北管戲也叫做亂彈、子弟戲，是早期臺灣流行的傳統戲曲。
三更半暝,三更半夜
伊昨昏三更半暝才轉來。,他昨天三更半夜才回來。
這个庄頭無偌大，蹛無幾口灶。,這個村子沒多大，沒有幾戶人家住在那裡。
伊有一个大肚胿，做啥物代誌攏真無方便。,他有一個很大的肚子，做起任何事都很不方便。
伊親像大肚胿，一頓會當食六碗飯。,他的食量真的很大，一餐可以吃掉六碗飯。
伊揹一个大肚胿，嘛仝款拋拋走。,他懷孕挺了個大肚子，還是一樣四處跑。
三角銀,三毛錢
陳的！久見久見！近來攏咧無閒啥？,老陳！好久不見！最近都在忙些什麼？
三角窗的厝來做店面上好。,轉角的房子來做店面最合適。
伊上愛提千里鏡看稀罕的鳥仔。,他最喜歡拿望遠鏡看稀奇的鳥類。
我若無提醒，你久來就會袂記得矣。,我若沒有提醒你，時間一久你就會忘記了。
伊去予警察召去問口供。,他被警察叫去問口供。
大事化小事，小事化無事。,大事化小，小事化無。有息事寧人或避重就輕之意。
這擺的工事真順利。,這次的工程很順利。
大嫂疼小叔。,大嫂疼小叔。
這片山坪種足濟茶欉。,這片山坡地上種了很多茶樹。
阮丈姆明仔載欲來。,我的岳母明天要來。
伊是阮小妹。,他是我妹妹。
小妹感謝逐家的疼惜。,小妹謝謝大家對我的愛護。
𪜶兩个兄嫂小姑誠有話講。,他們姑嫂倆很有得聊。
物件收佇屜仔下底。,東西收在抽屜下面。
翁婿的老爸，愛稱呼伊大官。,丈夫的父親，要稱呼他公公。
𪜶親情內底有一个大官虎，講話攏會硩死人。,他的親戚裡頭有一個當大官的，說話都會將別人壓得死死的。
伊生本較土性，你莫佮伊計較。,他天生就比較粗魯、率直，你不要和他計較。
伊驚見赴袂著車幫，下性命走。,他怕搭車會來不及，死命地跑。
屘叔仔明仔下昏才會轉來。,小叔叔明天晚上才會回來。
我下昏欲去看電影。,我今晚要去看電影。
伊的人較土直，毋才較會去得失人。,他的人個性比較直率，所以比較容易得罪別人。
我看𪜶兩个，會做伙嘛袂久長。,我看他們兩個，就算會在一起也不會長久。
恁這位千金生做真媠。,你的女兒長得很漂亮。
春宵一刻值千金。,歡樂的時光是很美好可貴的。
你若是有啥物三長兩短，叫我欲按怎活落去？,你如果有何不測，叫我要怎麼活下去？
石頭浸久嘛會上青苔。,石頭浸久了也會長青苔。比喻從事某一工作，時間久了也會有所成就。
久長病，無孝子。,久病床前無孝子。
三思而後行。,三思而後行。
伊講伊大後日會倒轉來。,他說他大後天會回來。
伊這過出國，著愛大後年才會當倒轉來。,他這次出國，要大後年才會回來。
你閣按怎講，伊也是聽袂入耳。,你再怎麼說，他還是聽不進去。
伊是老師，也是學生。,他是老師，也是學生。
彼个人才是歹人。,那個人才是壞人。
古早人會娶大某、細姨，這馬已經袂使按呢。,古時候的人會娶妻、妾，現在已經不能這樣。
年節時仔愛攢三牲來拜拜。,過年過節要準備祭品來祭拜神明。
𪜶兜是好額人，逐頓食的攏是山珍海味。,他們家是有錢人，每餐都吃山珍海味。
人若肯拍拚，乞食也會出頭天。,人只要肯努力，連乞丐也會出人頭地。
算命的講伊生來是乞食命，毋過伊認真拍拚，這馬已經是大頭家矣。,算命的說他生來就是乞丐命，但他認真努力，現在已經是大老闆了。
彼个人有夠大面神，攏毋知影通歹勢。,那個人臉皮真厚，都不會不好意思。
相爭做乞食頭。,爭當丐頭。其實做乞丐的所得有限，雖然乞丐頭可以過得比其他乞丐好一點，但終究無法和非乞丐相比。故此句有嘲諷或可憐人為小利而爭的意味。
彼个頭家有夠土匪。,那個老闆像土匪一樣兇惡。
聽講𪜶兜彼間大厝這馬是古蹟。,聽說他家的那間大房子現在是古蹟。
古早有的老大人會家己買大厝。,古時候有些老人家會自己買棺材。
伊佇彼間銀行有一个口座。,他在那間銀行有一個帳戶。
你是咱兜的大孫。,你是我們家的長孫。
阮大家誠疼我。,我婆婆很疼我。
這个山崁誠懸。,這座山崖很高。
𪜶兜是大家口，扞家的人誠忝頭。,他家是個大家庭，掌家計的人很累。
𪜶大家官對伊袂䆀。,他的公公婆婆對他不錯。
來來來！逐家上桌食飯。,來來來！大家一起過來吃飯。
頭家捀菜上桌。,老闆端菜上桌。
伊的口氣真大。,他的口氣很大。
走甲大氣喘袂離。,跑得喘不過氣。
我真討厭別人干涉我的代誌。,我很討厭別人干預我的事。
這罐芳水較低級，毋是高級貨。,這瓶香水是比較低級的貨品，不是高等級的貨色。
較低級的職位。,較低階的職位。
這陣人誠大陣。,這群人很大一群。
莫戴小鬼仔殼佇遐共人嚇驚。,不要戴面具在那邊嚇人。
薪水予伊三除四扣就賰無偌濟矣。,薪水給他東扣西扣就所剩無幾了。
欲上崎矣，莫行遐緊。,要上坡了，不要走那麼快。
金水嬸仔三个後生攏誠有才情，毋是經理，就是董事長。,金水嬸的三個兒子都很有才華，不是經理就是董事長。
伊哪會遐才情。,他怎麼那麼有才華。
三教九流,三教九流
下晝阮欲來去圖書館讀冊。,下午我們要去圖書館讀書。
下晡我欲招阿美仔去𨑨迌。,下午我要找阿美去玩。
試看大細會合袂？,試試大小合不合適？
做序大的人對待囡仔毋通大細心。,做長輩的人對待晚輩不可以偏心。
你看人大細目，早慢會出代誌。,你處事不公，遲早會出事。
遮的物件緊送去工場予𪜶。,這些東西趕快送去工廠給他們。
大富由天，小富由人。,大富由天安排，命中註定，小富則靠自已努力累積。即勸人不要心存野心，但要勤奮努力。
像這款大寒的天，食一寡燒的上好。,像這麼冷的天氣裡，吃些熱食是最好的了。
禮拜欲大摒掃，毋通走出去耍。,星期日要大掃除，不要跑出去玩。
這塊餅已經上殕矣，緊提去擲㧒捔。,這塊餅乾已經發霉了，趕快拿去丟。
伊對下港起來臺北食頭路。,他從南部上來臺北工作。
大港無崁蓋。,大河沒有覆蓋。這句話多用於罵人去跳河自殺算了。
水足大港,水流量非常大
風足大港,風勢很強
氣象報告講今仔日有大湧，你毋通去釣魚。,氣象報告說今天會有大浪，你別去釣魚。
干焦賰遮的菜爾爾，你欲無？,只剩這些菜而已，你要嗎？
一屑仔代誌都辦袂好勢，真下痟！,一點小事情都辦不好，真沒用！
上等料理,上等料理
注大筒的,打點滴、靜脈注射
小等一下！,稍等一下！
大量生產才算會和。,大量生產才划算。
喙共弓開才會當灌藥仔。,撐開他的嘴才能夠灌藥。
天遐爾仔烏，等咧凡勢會落雨。,天那麼黑，等一會兒也許會下雨。
咱蹛這角圍仔，山勢較低。,我們住的這一帶，地勢比較低。
這款代誌曷使閣問，土想嘛知。,這種事情何必再問，不用想也知道。
下暗欲來阮兜予阮請無？,今晚要來我們家作客嗎？
伊先共我拍，我才會共伊拍。,他先打我，我才會打他。
伊跋落去山溝，跤骨摔斷去。,他跌落山谷，腳摔斷了。
下落不明,不知去向
你出門在外，家己千萬愛小心。,你出門在外，自己千萬要小心。
千萬人,千萬人
貓睏佇椅仔下跤。,貓在椅子下睡覺。
土人講土話。,粗俗的人講粗俗的話。
伊講的是𪜶故鄉的土話，我聽攏無。,他說的是他故鄉的方言，我都聽不懂。
毋通定定講大話。,不要常常說大話。
較早有真濟山賊佇遮出入。,以前有很多山賊在這裡出沒。
𪜶兜蹛佇山跤。,他們家住在山腳下。
𪜶兜倩真濟下跤手人。,他家僱用很多手下。
我有一雙大跤胴。,我有一雙蘿蔔腿。
三跤貓笑一目狗。,三腳貓笑獨眼狗。即五十步笑百步。
你真正有夠低路，連這款工課都袂曉做。,你真的很不中用，連這種工作都不會做。
按這條大路直直去就到阮兜矣。,從這條大馬路一直走下去就到我家了。
你著較大路咧，毋通遐凍霜。,你應該開朗大方一點，不要這麼小家子氣。
這條小路真歹行。,這條小徑很難走。
時機遐䆀，三頓若顧會齊勻就誠佳哉矣。,景氣這麼差，三餐能溫飽就很慶幸了。
阮阿公七十歲大壽的時陣，阮兜有辦桌請人。,我爺爺七十歲生日的時候，我們家有開席宴客。
你今仔五十歲爾爾，哪會未曾未就共大壽買好矣。,你才五十歲而已，怎麼就將棺木買好備用了。
伊生做足大漢。,他長得很高大。
囡仔若大漢，爸母就輕鬆矣。,兒子如果長大，父母就輕鬆了。
伊是大漢的。,他排行老大。
伊傷大箍矣。,他太胖了。
彼箍柴真大箍。,那根木頭很粗。
一箍是大箍抑細箍？,是一萬還是一塊錢？
這上緊嘛著愛到後日才會好。,這最快也要到後天才能完成。
上蓋媠,最漂亮
上蓋好,最好
上蓋𠢕,最厲害
牽亡魂,牽引亡魂、通靈。是傳統喪禮的一部分。
這過買的三層肉真好食。,這次買的五花肉真好吃。
這小數錢，毋免計較。,這些小額的金錢，不用計較。
囡仔當咧拍干樂。,小孩子們正在玩陀螺。
規日無閒甲若干樂咧。,整天忙得像陀螺。
彼个查某囡仔講話真大範。,那個女孩子講話很大方、自然。
彼領洋裝看著真大範。,那件洋裝看起來很高雅，不會俗氣。
老師當咧課堂上課。,老師正在教室裡面授課。
學生囡仔逐工攏愛去學校上課。,學生們每天都要去學校讀書。
我的工課足濟的。,我的工作很多。
伊真有才調，律師牌一擺就考過！,他很有本事，律師牌照一次就考到了！
阮遮干焦做大賣，無咧賣零星的。,我們這裡只有做批發生意，沒有做零售。
小賣的價數一定比大賣較貴。,零售的價格一定比批發貴。
我感覺山豬仔肉較好食。,我覺得野豬肉比較好吃。
下頦尖尖,下巴尖尖的
大學畢業了後就愛揣頭路。,大學畢業以後就要找工作做。
